Title: NACA0021
Thickness to Chord Ratio: 0.21
Zero Lift AOA (deg): 0.0
Reverse Camber Direction: 0

Reynolds Number: 1e3
BV Dyn. Stall Model - Positive Stall AOA (deg): 1.0
BV Dyn. Stall Model - Negative Stall AOA (deg): -1.0
LB Dyn. Stall Model - Lift Coeff. Slope at Zero Lift AOA (per radian): 5.73
LB Dyn. Stall Model - Positive Critical Lift Coeff.: 1
LB Dyn. Stall Model - Negative Critical Lift Coeff.: -1
AOA (deg) CL CD Cm25
-180	0.0000	0.2107	0.0000
-170	-0.1493	0.2166	0.4000
-160	0.2488	0.2334	0.0021
-150	0.1968	0.2582	0.0290
-140	0.1683	0.2866	0.0453
-130	0.1422	0.3132	0.0582
-120	0.1120	0.3325	0.0684
-110	0.0769	0.3396	0.0752
-100	0.0384	0.3304	0.0778
-90	0.0000	0.3030	0.0757
-80	-0.0384	0.3304	0.0882
-70	-0.0769	0.3396	0.0975
-60	-0.1120	0.3325	0.1036
-50	-0.1422	0.3132	0.1074
-40	-0.1683	0.2866	0.1113
-30	-0.1968	0.2582	0.1208
-25	-0.2172	0.2450	0.0573
-24.5	-0.2198	0.2438	0.0530
-24	-0.2224	0.2426	0.0487
-23.5	-0.2251	0.2414	0.0445
-23	-0.2280	0.2402	0.0404
-22.5	-0.2311	0.2390	0.0363
-22	-0.2343	0.2378	0.0324
-21.5	-0.2376	0.2367	0.0285
-21	-0.2411	0.2356	0.0247
-20.5	-0.2449	0.2345	0.0209
-20	-0.2488	0.2334	0.0173
-19.5	-0.2530	0.2323	0.0137
-19	-0.2574	0.2313	0.0103
-18.5	-0.2622	0.2303	0.0069
-18	-0.2672	0.2293	0.0037
-17.5	-0.2725	0.2283	0.0005
-17	-0.2782	0.2274	-0.0025
-16.5	-0.2843	0.2264	-0.0054
-16	-0.3871	0.2219	-0.0082
-15.5	-0.3694	0.2180	-0.0109
-15	-0.3519	0.2141	-0.0135
-14.5	-0.3344	0.2104	-0.0159
-14	-0.3172	0.2067	-0.0181
-13.5	-0.3001	0.2031	-0.0203
-13	-0.2832	0.1996	-0.0222
-12.5	-0.2666	0.1962	-0.0240
-12	-0.2501	0.1928	-0.0256
-11.5	-0.2340	0.1896	-0.0271
-11	-0.2181	0.1865	-0.0283
-10.5	-0.2026	0.1834	-0.0294
-10	-0.1873	0.1805	-0.0303
-9.5	-0.1725	0.1777	-0.0309
-9	-0.1580	0.1750	-0.0314
-8.5	-0.1440	0.1724	-0.0316
-8	-0.1304	0.1700	-0.0316
-7.5	-0.1173	0.1676	-0.0314
-7	-0.1048	0.1655	-0.0309
-6.5	-0.0928	0.1634	-0.0301
-6	-0.0815	0.1615	-0.0292
-5.5	-0.0709	0.1597	-0.0279
-5	-0.0611	0.1581	-0.0264
-4.5	-0.0520	0.1567	-0.0246
-4	-0.0437	0.1554	-0.0226
-3.5	-0.0363	0.1542	-0.0204
