AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 17.04.2016 at 14:28:07 Compatible with AeroDyn v13.0.
Polar "T1_Re1.500_M0.00_N9.0" on Foil "NACA 0021" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.28350        Cn slope for zero lift for linear Cn curve (1/rad)
0.9208         Cn at stall value for positive angle of attack for linear Cn curve
-0.9200        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0073         Minimum CD value
    -25.00   -1.2388    0.1600
    -24.00   -1.2540    0.1445
    -23.00   -1.3190    0.1219
    -22.00   -1.3769    0.1013
    -21.00   -1.4143    0.0842
    -20.00   -1.4347    0.0697
    -19.00   -1.4587    0.0554
    -18.00   -1.4697    0.0434
    -17.00   -1.4457    0.0355
    -16.00   -1.4165    0.0288
    -15.00   -1.3769    0.0237
    -14.00   -1.3237    0.0202
    -13.00   -1.2736    0.0175
    -12.00   -1.2285    0.0155
    -11.00   -1.1118    0.0136
    -10.00   -1.0106    0.0121
     -9.00   -0.9298    0.0109
     -8.00   -0.8429    0.0101
     -7.00   -0.7470    0.0093
     -6.00   -0.6458    0.0087
     -5.00   -0.5418    0.0083
     -4.00   -0.4361    0.0079
     -3.00   -0.3285    0.0076
     -2.00   -0.2193    0.0075
     -1.00   -0.1101    0.0073
      0.00   -0.0000    0.0073
      1.00    0.1101    0.0073
      2.00    0.2193    0.0075
      3.00    0.3285    0.0076
      4.00    0.4361    0.0079
      5.00    0.5419    0.0083
      6.00    0.6460    0.0087
      7.00    0.7472    0.0093
      8.00    0.8433    0.0101
      9.00    0.9305    0.0109
     10.00    1.0114    0.0121
     11.00    1.1126    0.0136
     12.00    1.2297    0.0155
     13.00    1.2746    0.0174
     14.00    1.3256    0.0201
     15.00    1.3798    0.0236
     16.00    1.4200    0.0287
     17.00    1.4504    0.0353
     18.00    1.4750    0.0432
     19.00    1.4646    0.0552
     20.00    1.4426    0.0693
     21.00    1.4226    0.0838
     22.00    1.3857    0.1010
     23.00    1.3279    0.1216
     24.00    1.2609    0.1446
     25.00    1.2458    0.1602
    180.00   -1.2388    0.1600
